Suburb,State,PostCode
ARRAWARRA,NSW,2456
ARRIGA,QLD,4880
ARRINO,WA,6519
ARTARMON,NSW,1570
ARTARMON,NSW,2064
ARTHUR RIVER,WA,6315
ARTHURS CREEK,VIC,3099
ARTHURS SEAT,VIC,3936
ARTHURTON,SA,5572
ARUMPO,NSW,2715
ARUNDEL,QLD,4214
ASCOT,QLD,4007
ASCOT,QLD,4359
ASCOT,WA,6104
ASCOT PARK,SA,5043
ASCOT VALE,VIC,3032
ASHBOURNE,VIC,3442
ASHBOURNE,SA,5157
ASHBURTON,VIC,3147
ASHBURY,NSW,2193
ASHBY,NSW,2463
ASHBY,WA,6065
ASHCROFT,NSW,2168
ASHENDON,WA,6111
ASHFIELD,NSW,1800
ASHFIELD,NSW,2131
ASHFIELD,WA,6054
ASHFORD,NSW,2361
ASHFORD,SA,5035
ASHGROVE,QLD,4060
ASHLEY,NSW,2400
ASHTON,SA,5137
ASHTONFIELD,NSW,2323
ASHVILLE,SA,5259
ASHWELL,QLD,4340
ASPENDALE,VIC,3195
ASPLEY,QLD,4034
ASQUITH,NSW,2077
ATHELSTONE,SA,5076
ATHERTON,QLD,4883
ATHLONE,VIC,3818
ATHOL,QLD,4350
ATHOL PARK,SA,5012
ATKINSONS DAM,QLD,4311
ATTADALE,WA,6156
ATTUNGA,NSW,2345
ATTWOOD,VIC,3049
ATWELL,WA,6164
AUBREY,VIC,3393
AUBURN,NSW,1835
AUBURN,NSW,2144
AUBURN,VIC,3123
AUBURN,QLD,4413
AUBURN,SA,5451
AUBURN SOUTH,VIC,3122
AUBURN VALE,NSW,2360
AUCHENFLOWER,QLD,4066
AUCHMORE,VIC,3570
AUDLEY,NSW,2232
AUGATHELLA,QLD,4477
AUGUSTA,WA,6290
AUGUSTINE HEIGHTS,QLD,4300
AULDANA,SA,5072
AUSTINMER,NSW,2515
AUSTINS FERRY,TAS,7011
AUSTINVILLE,QLD,4213
AUSTRAL,NSW,2179
AUSTRALIA FAIR,QLD,4215
"AUSTRALIAN DEFENCE 
FORCES",NSW,2890
"AUSTRALIAN NATIONAL 
UNIVERSITY",ACT,200
AUSTRALIA PLAINS,SA,5374
AUSTRALIA SQUARE,NSW,1215
AUSTRALIND,WA,6233
AVALON,VIC,3212
AVALON BEACH,NSW,2107
AVELEY,WA,6069
AVENEL,VIC,3664
AVENUE RANGE,SA,5273
AVOCA,NSW,2577
AVOCA,VIC,3467
AVOCA,TAS,7213
AVOCA BEACH,NSW,2251
AVOCA DELL,SA,5253
AVOCA VALE,QLD,4314
AVON,NSW,2574
AVON,SA,5501
AVONDALE,NSW,2530
AVONDALE HEIGHTS,VIC,3034
AVONMORE,VIC,3559
AVON PLAINS,VIC,3477
AVONSIDE,NSW,2628
AVONSLEIGH,VIC,3782
AVON VALLEY NATIONAL PARK,WA,6084
AYRFORD,VIC,3268
"B
BAAN BAA",NSW,2390
BAANDEE,WA,6412
BABAKIN,WA,6428
BABBAGE ISLAND,WA,6701
BABINDA,NSW,2825
BABINDA,QLD,4861
BACCHUS MARSH,VIC,3340
BACK CREEK,NSW,2372
BACK CREEK,NSW,2422
BACK CREEK,NSW,2484
BACK FOREST,NSW,2535
BACK PLAINS,QLD,4361
BACK VALLEY,SA,5211
BACKWATER,NSW,2365
BACKY POINT,SA,5601
BADAGARANG,NSW,2540
BADDAGINNIE,VIC,3670
BADGEBUP,WA,6317
BADGER CREEK,VIC,3777
BADGER HEAD,TAS,7270
BADGERIN ROCK,WA,6475
BADGERYS CREEK,NSW,2555
BADGIN,WA,6302
BADGINGARRA,WA,6521
BADJALING,WA,6383
BADU ISLAND,QLD,4875
BAERAMI,NSW,2333
BAFFLE CREEK,QLD,4674
BAGNOO,NSW,2446
BAHGALLAH,VIC,3312
BAILIESTON,VIC,3608
BAILUP,WA,6082
BAIRD BAY,SA,5671
BAIRNSDALE,VIC,3875
BAJOOL,QLD,4699
BAKARA,SA,5354
BAKERS BEACH,TAS,7307
BAKERS BEND,QLD,4470
BAKERS CREEK,NSW,2359
BAKERS CREEK,NSW,2447
BAKERS HILL,WA,6562
BAKERY HILL,VIC,3354
BAKEWELL,NT,832
BALACLAVA,VIC,3183
BALAKLAVA,SA,5461
BALBARRUP,WA,6258
BALCATTA,WA,6021
BALCATTA,WA,6914
BALCOLYN,NSW,2264
BALD HILLS,NSW,2549
BALD HILLS,QLD,4036
BALD HILLS,SA,5203
BALDINA,SA,5417
BALDIVIS,WA,6171
BALD KNOB,QLD,4552
BALD NOB,NSW,2370
BALDRY,NSW,2867
BALFOURS PEAK,NSW,2403
BALGA,WA,6061
BALGOWAN,SA,5573
BALGOWLAH,NSW,2093
BALGOWNIE,NSW,2519
BALHANNAH,SA,5242
BALICKERA,NSW,2324
BALINGUP,WA,6253
BALLADONIA,WA,6443
BALLADORAN,NSW,2822
BALLAJURA,WA,6066
BALLAN,VIC,3342
BALLANDEAN,QLD,4382
BALLANGEICH,VIC,3279
BALLAPUR,VIC,3483
BALLARAT,VIC,3353
BALLARD,QLD,4352
BALLAROO,QLD,4455
BALLDALE,NSW,2646
BALLENDELLA,VIC,3561
BALLIDU,WA,6606
BALLIMORE,NSW,2830
BALLINA,NSW,2478
BALLY BALLY,WA,6304
BALLYROGAN,VIC,3375
BALMAIN,NSW,2041
BALMATTUM,VIC,3666
BALMORAL,VIC,3407
BALMORAL,QLD,4171
BALMORAL VILLAGE,NSW,2571
BALNARRING,VIC,3926
BALWYN,VIC,3103
BALWYN NORTH,VIC,3104
BAMAGA,QLD,4876
BAMAWM EXTENSION,VIC,3564
BAMBOO,QLD,4873
BAMBOO CREEK,QLD,4860
BAMBRA,VIC,3241
BAMBUN,WA,6503
BAMGANIE,VIC,3333
BANCA,TAS,7265
BANCROFT,QLD,4630
BANDIANA MILPO,VIC,3694
BANDYA,WA,6440
BANDY CREEK,WA,6450
BANGALEE,NSW,2541
BANGALOW,NSW,2479
BANGHAM,SA,5268
BANGHEET,NSW,2404
BANGHOLME,VIC,3175
BANGO,NSW,2582
BANGOR,SA,5481
BANGOR,TAS,7267
BANKS,ACT,2906
BANKSIA,NSW,2216
BANKSIA BEACH,QLD,4507
BANKSIADALE,WA,6213
BANKSIA GROVE,WA,6031
BANKSIA PARK,SA,5091
BANKSMEADOW,NSW,2019
BANKSTOWN,NSW,1885
BANKSTOWN,NSW,2200
BANNABY,NSW,2580
BANNISTER,WA,6390
BANNOCKBURN,VIC,3331
BANOON,NSW,2347
BANORA POINT,NSW,2486
BANYAN,VIC,3485
BANYENA,VIC,3388
BANYO,QLD,4014
BANYULE,VIC,3084
BARABBA,SA,5460
BARADINE,NSW,2396
BARAMBAH,QLD,4601
BARANGAROO,NSW,2000
BARATTA,SA,5432
BARBALIN,WA,6479
BAR BEACH,NSW,2300
BARBERTON,WA,6510
BARCALDINE,QLD,4725
BARDIA,NSW,2565
BARDON,QLD,4065
BARDWELL PARK,NSW,2207
BAREE,QLD,4714
BAREENA,VIC,3220
BARFOLD,VIC,3444
BARGUNYAH,QLD,4465
BARHAM,NSW,2732
BARINGHUP,VIC,3463
BARKERS CREEK,VIC,3451
BARKLY,VIC,3384
BARLIL,QLD,4605
BARMAH,VIC,3639
BARMEDMAN,NSW,2668
BARMERA,SA,5345
BARNA,SA,5641
BARNADOWN,VIC,3557
BARNAWARTHA,VIC,3688
BARNDIOOTA,SA,5434
BARNEY POINT,QLD,4680
BARNEYS REEF,NSW,2852
BARNEY VIEW,QLD,4287
BARNSLEY,NSW,2278
BAROOGA,NSW,3644
BAROONDAH,QLD,4420
BAROOTA,SA,5495
BAR POINT,NSW,2083
BARRABOOL,VIC,3221
BARRABUP,WA,6275
BARRACK HEIGHTS,NSW,2528
BARRAGUP,WA,6209
BARRAKEE,VIC,3525
BARRAMORNIE,QLD,4416
BARRAPORT,VIC,3537
BARRATTA,NSW,2710
BARRATTA,QLD,4809
BARRETTA,TAS,7054
BARRINE,QLD,4872
BARRINGUN,NSW,2840
BARRINGUN,QLD,4490
BARRON,QLD,4878
BARROW ISLAND,WA,6712
BARRY,NSW,2799
BARRYS REEF,VIC,3458
BARTON,ACT,2600
BARUNAH PARK,VIC,3329
BARUNGA GAP,SA,5520
BARWANG,NSW,2594
BARWITE,VIC,3722
BARWON DOWNS,VIC,3243
BARWON HEADS,VIC,3227
BASAL T,VIC,3460
BASIN POCKET,QLD,4305
BASKERVILLE,WA,6056
BASKET RANGE,SA,5138
BASS,VIC,3991
BASSENDEAN,WA,6934
BASSENDEAN DC,WA,6942
BASS HILL,NSW,2197
BATAR CREEK,NSW,2439
BATCHELOR,NT,845
BATEAU BAY,NSW,2261
BATEHAVEN,NSW,2536
BATEMAN,WA,6150
BATHUMI,VIC,3730
BATLOW,NSW,2730
BATMAN,VIC,3058
BATTERY POINT,TAS,7004
BAUDIN,WA,6284
BAUHINIA,QLD,4718
BAULKHAM HILLS,NSW,1755
BAULKHAM HILLS,NSW,2153
BAWLEY POINT,NSW,2539
BAXTER,VIC,3911
BAYLES,VIC,3981
BAY OF SHOALS,SA,5223
BAYRICK,QLD,4478
BAYSWATER,VIC,3153
BAYSWATER,WA,6053
BAYSWATER,WA,6933
BAYVIEW,NT,820
BAYVIEW,NSW,2104
BAYVIEW HEIGHTS,QLD,4868
BEACH HOLM,QLD,4818
BEACHLANDS,WA,6530
BEACHMERE,QLD,4510
BEACHPORT,SA,5280
BEACON,WA,6472
BEACONSFIELD,VIC,3807
BEACONSFIELD,WA,6162
BEACONSFIELD UPPER,VIC,3808
BEARBONG,NSW,2827
BEARD,ACT,2620
BEARII,VIC,3641
BEARS LAGOON,VIC,3517
BEATRICE,QLD,4886
BEATTY,SA,5320
BEAUFORT,VIC,3373
BEAUFORT,SA,5550
BEAUFORT RIVER,WA,6394
BEAUMARIS,VIC,3193
BEAUMARIS,TAS,7215
BEAUMONT,SA,5066
BEAUMONT HILLS,NSW,2155
BECKENHAM,WA,6107
BEDFORD,WA,6052
BEDFORD PARK,SA,5042
BEDFORD ROAD,VIC,3135
BEDGERABONG,NSW,2871
BEEAC,VIC,3251
BEEBO,QLD,4385
BEECHBORO,WA,6063
BEECHFORD,TAS,7252
BEECHINA,WA,6556
BEECROFT,NSW,2119
BEEDELUP,WA,6260
BEELA,WA,6224
BEELBANGERA,NSW,2680
BEELBEE,QLD,4405
BEELBI CREEK,QLD,4659
BEEMUNNEL,NSW,2824
BEENAK,VIC,3139
BEENONG,WA,6353
BEERBURRUM,QLD,4517
BEERON,QLD,4626
BEERWAH,QLD,4519
BEETALOO VALLEY,SA,5523
BEGGAN BEGGAN,NSW,2587
BEGONIA,QLD,4487
BEJOORDING,WA,6566
BELAIR,SA,5052
BELALIE EAST,SA,5491
BELCONG,QLD,4723
BELCONNEN,ACT,2616
BELCONNEN,ACT,2617
BELDON,WA,6027
BELFIELD,NSW,2191
BELFORD,NSW,2335
BELGIAN GARDENS,QLD,4810
BELGRAVE,VIC,3160
BELGRAVIA,NSW,2800
BELIMBLA PARK,NSW,2570
BELL,NSW,2786
BELL,QLD,4408
BELLAMBI,NSW,2518
BELLARINE,VIC,3223
BELLATA,NSW,2397
BELL BAY,TAS,7253
BELLBIRD CREEK,VIC,3889
BELLBRAE,VIC,3228
BELLELLEN,VIC,3381
BELLERIVE,TAS,7018
BELLEVUE HEIGHTS,SA,5050
BELLEVUE HILL,NSW,2023
BELLFIELD,VIC,3081
BELLINGEN,NSW,2454
BELLINGHAM,TAS,7254
BELLI PARK,QLD,4562
BELLMOUNT FOREST,NSW,2581
BELL PARK,VIC,3215
BELL THORPE,QLD,4514
BELL TREES,NSW,2337
BELMONT,NSW,2280
BELMONT,VIC,3216
BELMONT,QLD,4153
BELMONT,WA,6984
BELMORE,NSW,2192
BELOON,NSW,2787
BELOWRA,NSW,2545
BELROSE,NSW,2085
BEL TANA,SA,5730
BENA,VIC,3946
BENALLA,VIC,3671
BENALLA,VIC,3672
BENAMBRA,VIC,3900
BEN BULLEN,NSW,2790
BENCUBBIN,WA,6477
BENDEMEER,NSW,2355
BENDICK MURRELL,NSW,2803
BENDIGO,VIC,3550
BENDIGO,VIC,3552
BENDIGO DC,VIC,3554
BENDOC,VIC,3888
BEND OF ISLANDS,VIC,3097
BENGER,WA,6223
BENHOLME,QLD,4754
BENJABERRING,WA,6463
BENJINUP,WA,6255
BENLOCH,VIC,3435
BEN LOMOND,TAS,7212
BENNETTS GREEN,NSW,2290
BENNISON,VIC,3960
BENOBBLE,QLD,4275
BENOLONG,NSW,2818
BENOWA,QLD,4217
BENTLEIGH,VIC,3204
BENTLEIGH EAST,VIC,3165
BENTLEY,NSW,2480
BENTLEY,WA,6102
BENTLEY,WA,6982
BENTLEY DC,WA,6983
BENTLEY PARK,QLD,4869
BENWERRIN,VIC,3235
BERALA,NSW,2141
BERAMBING,NSW,2758
BERESFIELD,NSW,2322
BERGALIA,NSW,2537
BERGEN,QLD,4353
BERKELEY,NSW,2506
BEROWRA,NSW,2081
BEROWRA CREEK,NSW,2082
BERRAMBOOL,NSW,2548
BERRI,SA,5343
BERRIGAN,NSW,2712
BERRIMAH,NT,828
BERRIMAL,VIC,3518
BERRINBA,QLD,4117
BERRINGA,VIC,3351
BERRIWILLOCK,VIC,3531
BERRYBANK,VIC,3323
BERRY JERRY,NSW,2701
BERRY PARK,NSW,2321
BERRYS CREEK,VIC,3953
BERRY SPRINGS,NT,838
BERSERKER,QLD,4701
BERWICK,VIC,3806
BESSIEBELLE,VIC,3304
BET BET,VIC,3472
BETHANIA,QLD,4205
BETHANY,SA,5352
BETHUNGRA,NSW,2590
BEULAH,VIC,3395
BEULAH PARK,SA,5067
BEVERFORD,VIC,3590
BEVERIDGE,VIC,3753
BEVERLEY PARK,NSW,2217
BEVERLY HILLS,NSW,2209
BIARRA,QLD,4313
BIBARINGA,SA,5118
BIBBENLUKE,NSW,2632
BIBRA LAKE,WA,6163
BIBRA LAKE,WA,6965
BICKLEY,WA,6076
BICTON,WA,6157
BIDGEEMIA,NSW,2642
BIDWILL,NSW,2770
BIELSDOWN HILLS,NSW,2453
BIG DESERT,VIC,3490
BIGGA,NSW,2583
BIGGENDEN,QLD,4621
BIGGERA WATERS,QLD,4216
BIGGS FLAT,SA,5153
BIG HILL,NSW,2579
BIG HILL,VIC,3555
BIG JACKS CREEK,NSW,2339
BIG PATS CREEK,VIC,3799
BILINGA,QLD,4225
BILINGURR,WA,6725
BILLA BILLA,QLD,4390
BILLA KALINA,SA,5720
BILLEROO WEST,SA,5440
BILLEROY,NSW,2829
BILLIMARI,NSW,2804
BOX HILL,VIC,3128
BILLINUDGEL,NSW,2483
BILOELA,QLD,4715
BILYANA,QLD,4854
BIMBERI,NSW,2611
BIMBI,NSW,2810
BIMBOURIE,VIC,3533
BINALONG,NSW,2584
BINDEBANGO,QLD,4488
BINDI,VIC,3896
BINDI BINDI,WA,6574
BINDOON,WA,6502
BINDULI,WA,6430
BINGIL BAY,QLD,4852
BINGINWARRI,VIC,3966
BINIGUY,NSW,2399
BINNAWAY,NSW,2395
BINNUM,SA,5262
BIRCHMONT,WA,6214
BIRCHS BAY,TAS,7162
BIRDSVILLE,QLD,4482
BIRDWOOD,SA,5234
BIRDWOODTON,VIC,3505
BIRKDALE,QLD,4159
BIRKENHEAD,SA,5015
BIRMINGHAM GARDENS,NSW,2287
BIRRALEE,TAS,7303
BIRREGURRA,VIC,3242
BIRRIWA,NSW,2844
BIRRONG,NSW,2143
BIRTINYA,QLD,4575
BISHOPSBOURNE,TAS,7301
BITTERN,VIC,3918
BLACKALL,QLD,4472
BLACKBURN,VIC,3130
BLACKBUTT,NSW,2529
BLACKFELLOWS CREEK,SA,5201
BLACKFORD,SA,5275
BLACK HEAD,NSW,2430
BLACKHEATH,NSW,2785
BLACKHEATH,VIC,3401
BLACK HILLS,TAS,7140
BLACKMANS BAY,TAS,7052
BLACKMANS POINT,NSW,2444
BLACK MOUNTAIN,QLD,4563
BLACK RIVER,TAS,7321
BLACKSMITHS,NSW,2281
BLACK SNAKE,QLD,4600
BLACKSTONE,QLD,4304
BLACKSTONE HEIGHTS,TAS,7250
BLACKVILLE,NSW,2343
BLACKWALL,NSW,2256
BLACKWALL,TAS,7275
BLACKWARRY,VIC,3844
BLACKWATER,QLD,4717
BLACKWOOD,SA,5051
BLAIR ATHOL,SA,5084
BLAIRGOWRIE,VIC,3942
BLAIRMOUNT,NSW,2559
BLAKEHURST,NSW,2221
BLAKISTON,SA,5250
BLANCHE HARBOR,SA,5700
BLANCHETOWN,SA,5357
BLAND,NSW,2721
BLAXCELL,NSW,2142
BLAXLAND,NSW,2774
BLENHEIM,QLD,4341
BLEWITT SPRINGS,SA,5171
BLI BLI,QLD,4560
BLIGH PARK,NSW,2756
BLIGHTY,NSW,2713
BLIND BIGHT,VIC,3980
BLOOMFIELD,QLD,4895
BLOOMSBURY,QLD,4799
BLUE COW,NSW,2624
BLUE HAVEN,NSW,2262
BLUE NOBBY,NSW,2408
BLUE ROCKS,TAS,7255
BLUE VALE,NSW,2380
BLUEYS BEACH,NSW,2428
BLUFF BEACH,SA,5575
BLUMONT,TAS,7260
BLYTH,SA,5462
BLYTHEWOOD,WA,6208
BOAMBEE,NSW,2450
BOAMBEE EAST,NSW,2452
BOATMAN,QLD,4468
BOBADAH,NSW,2877
BOBALONG,WA,6320
BOBIN,NSW,2429
BOBINAWARRAH,VIC,3678
BOCHARA,VIC,3301
BOCKELBERG,SA,5655
BOCOBRA,NSW,2865
BODALLIN,WA,6424
BOEILL CREEK,NSW,2739
BOGAN,NSW,2826
BOGANDILLA,QLD,4425
BOGANGAR,NSW,2488
BOGAN GATE,NSW,2876
BOGEE,NSW,2849
BOGGABILLA,NSW,2409
BOGGABRI,NSW,2382
BOGIE,QLD,4805
BOGONG,VIC,3699
BOHO,VIC,3669
BOISDALE,VIC,3860
BOKAL,WA,6392
BOLANGUM,VIC,3387
BOLGART,WA,6568
BOLINDA,VIC,3432
BOLIVAR,SA,5110
BOL TON,VIC,3546
BOMBAH POINT,NSW,2423
BOMBO,NSW,2533
BOMERA,NSW,2357
BONA VISTA,VIC,3820
BONBEACH,VIC,3196
BONDI,NSW,2026
BONDI JUNCTION,NSW,1355
BONDI JUNCTION,NSW,2022
BONEO,VIC,3939
BONGEEN,QLD,4356
BONNET BAY,NSW,2226
BONNET HILL,TAS,7053
BONNIE BROOK,VIC,3335
BONNIE DOON,VIC,3720
BONNY HILLS,NSW,2445
BONNYRIGG,NSW,2177
BONYTHON,ACT,2905
BOODARIE,WA,6722
BOODAROCKIN,WA,6423
BOOKAAR,VIC,3260
BOOKABIE,SA,5690
BOOKER BAY,NSW,2257
BOOKPURNONG,SA,5333
BOOLARRA,VIC,3870
BOOLBOONDA,QLD,4671
BOOLCARROLL,NSW,2388
BOOLE POOLE,VIC,3880
BOOLEROO CENTRE,SA,5482
BOOLGUN,SA,5330
BOOLIGAL,NSW,2711
BOOLITE,VIC,3392
BOOL LAGOON,SA,5271
BOOMAHNOOMOONAH,VIC,3728
BOOMER BAY,TAS,7177
BOOMI,NSW,2405
BOONDANDILLA,QLD,4406
BOONERDO,SA,5633
BOORABBIN,WA,6429
BOORAGOON,WA,6954
BOORAL,QLD,4655
BOORARA,WA,6431
